Nº doc.,Texto,Oc,CeBe,Proveedor / Usuario,Solicitante OC,Importe en ML,Lib.mayor,Cuenta Contable,Cuenta SV,Mes,Periodo,Año Academico,CeCo
5700012976,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/AMEX,,1855,7115070011,Gastos operativos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5700014129,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/EFECTIVO,,1927,7115030001,Transportación, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5700014129,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/EFECTIVO,,442,7115030004,Alimentacion, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5000024570,ANDANTOL,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,552,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5700013712,ANNA MORALES,,5690104000,CONCUR/EFECTIVO,,1101,7115070011,Gastos operativos, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5690104000 - Profesional
5000024549,ASPIRINA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,153,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000029900,BALONDEBASQUETBOL,940114,5692101001,FRANCISCO JAVIER ROMÁN RODRÍGUEZ (0000528565),MIGUEL ISAAC JAQUEZ CORRAL,1260,7115101007,Material y equipo deportivo, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5692101001 - Vive Preparatoria
5000029901,BALONDEFUTBOLSOCCER,940114,5692101001,FRANCISCO JAVIER ROMÁN RODRÍGUEZ (0000528565),MIGUEL ISAAC JAQUEZ CORRAL,2962,7115101007,Material y equipo deportivo, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5692101001 - Vive Preparatoria
5000029901,BALONDEFUTBOLSOCCER,940114,5692101002,FRANCISCO JAVIER ROMÁN RODRÍGUEZ (0000528565),MIGUEL ISAAC JAQUEZ CORRAL,2962,7115101007,Material y equipo deportivo, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
5000029897,BALONDEVOLEIBOL,940114,5692101002,FRANCISCO JAVIER ROMÁN RODRÍGUEZ (0000528565),MIGUEL ISAAC JAQUEZ CORRAL,1800,7115101007,Material y equipo deportivo, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
5000024574,BARMICILCREMA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,80,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000025188,BATERIAENERGIZERMAXSKU18539VPZA,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,615,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000025192,BOLIGRAFOBICSKU2P-MEDNEGRO12P,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,37,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000025191,BOLIGRAFOBICSKU6P-FINONGO12P,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,74,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024543,BOLIGRAFOOPLUMA,933786,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,78,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024544,BOLIGRAFOOPLUMA,933786,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,78,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024545,BOLIGRAFOOPLUMA,933786,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,166,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024546,BOLIGRAFOOPLUMA,933786,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,74,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000025185,BOLIGRAFOPENTELSKU17831GELNGO2P,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,195,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024516,BOMBADEAGUA,937177,5694801000,BRENDA EUNICE AGUILAR RAMIREZ (0001465829),JOSÉ EDGARD FAVELA LARA,13300,7115101001,Materiales en general, Gastos de Operacion,Agosto,SEM 1,2025,UF_5694801000 - Mantenimiento
5000024067,BORRADORALFRASKU25709P/PIZARRONPIEZA,932891,5690104000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),ARIEL LAZALDE RUELAS,1144,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690104000 - Profesional
5000025299,BORRADORALFRASKU25709P/PIZARRONPIEZA,933330,5690103000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),GERARDO ULISES MARTÍNEZ RAMÍREZ,762,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690103000 - Preparatoria
5000025186,BORRADORPELIKANSKU13960M-20B/2,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,34,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024548,BUTILHIOSCINA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,1200,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000024568,BUTILHIOSCINA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,215,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
100145493,Canvas – 01 ago 2025 al 31 julio 2026,,5694999000,PROVISION DE GASTOS,,18169,7115091002,Renta y mantenimiento de software, Software,Agosto,SEM 1,2025,UF_5694999000 - Operacion Institucional TI
100150426,Canvas – 01 ago 2025 al 31 julio 2026,,5694999000,PROVISION DE GASTOS,,-18169,7115091002,Renta y mantenimiento de software, Software,Septiembre,SEM 1,2025,UF_5694999000 - Operacion Institucional TI
5000024562,CAPTOPRIL,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,10,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000025302,CARTOPALINACOPAMEXSKU26636CTABCA,933330,5690103000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),GERARDO ULISES MARTÍNEZ RAMÍREZ,508,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690103000 - Preparatoria
5000025184,CARTOPALINACOPAMEXSKU26636CTABCA,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,1270,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000026339,CERRADURAOCHAPAP/PUERTA,936262,5694801000,SERGIO  GUANGORENA CERVANTES (0000531195),JOSÉ EDGARD FAVELA LARA,1950,7115101001,Materiales en general, Gastos de Operacion,Agosto,SEM 1,2025,UF_5694801000 - Mantenimiento
5000024115,CERRADURAOCHAPAP/PUERTA,936263,5694801000,SERGIO  GUANGORENA CERVANTES (0000531195),JOSÉ EDGARD FAVELA LARA,1950,7115101001,Materiales en general, Gastos de Operacion,Agosto,SEM 1,2025,UF_5694801000 - Mantenimiento
5000026427,CERRADURAOCHAPAP/PUERTA,941923,5694801000,SERGIO  GUANGORENA CERVANTES (0000531195),JOSÉ EDGARD FAVELA LARA,2580,7115101001,Materiales en general, Gastos de Operacion,Agosto,SEM 1,2025,UF_5694801000 - Mantenimiento
5000026470,CERTIFICACION,941903,5690104000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,18652,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690104000 - Profesional
5100015606,CERTIFICACION,941903,5690104000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,-160,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690104000 - Profesional
5000026470,CERTIFICACION,941903,5690105000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,2332,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690105000 - Maestria
5100015606,CERTIFICACION,941903,5690105000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,-20,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690105000 - Maestria
5000026470,CERTIFICACION,941903,5690110000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,2332,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690110000 - Ejecutivo
5100015606,CERTIFICACION,941903,5690110000,SOLUCIONES TECNOLOGICAS OVERCAST S API DE CV   (0000074013),ELIZABETH LUNA AGUILAR,-20,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690110000 - Ejecutivo
5000025301,CHINCHETAOD500PZSCOLORESSKU26944,933330,5690103000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),GERARDO ULISES MARTÍNEZ RAMÍREZ,360,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690103000 - Preparatoria
5000024579,CINTAADHESIVAUSOMEDICO,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,198,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000025282,CINTAODSKU44345TRANSP48X506PK,933330,5690103000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),GERARDO ULISES MARTÍNEZ RAMÍREZ,270,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690103000 - Preparatoria
5000025283,CINTASCOTCHSKU375MAGICA81018X334PK,933330,5690103000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),GERARDO ULISES MARTÍNEZ RAMÍREZ,760,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5690103000 - Preparatoria
5000025189,CINTASCOTCHSKU375MAGICA81018X334PK,933733,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,190,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000025536,CINTAZEBRAISERIES8ZXPYMCKRIBBON,938483,5692003000,CODYTECH SA DE CV    (0000038199),LESLIE NAIBE ALFÉREZ CASTAÑEDA,6380,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5692003000 - Admon Academica
5000025535,CINTAZEBRAISERIESTRANSFERFILMCLEAR,938483,5692003000,CODYTECH SA DE CV    (0000038199),LESLIE NAIBE ALFÉREZ CASTAÑEDA,1790,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5692003000 - Admon Academica
5700013571,CLAUDIA VERA,,5695103000,CONCUR/EFECTIVO,,250,7110013001,Agua y drenaje, Servicios Publicos,Agosto,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5700013571,CLAUDIA VERA,,5695103000,CONCUR/EFECTIVO,,262,7115070011,Gastos operativos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5000024541,CLIPPAPELERIA,933786,5694099000,OFFICE DEPOT DE MEXICO SA DE CV    (0000020095),HÉCTOR IVÁN FERNIZA DURÁN,65,7115101003,"Gastos, papeleria y artículos de oficina", Materiales,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
5000024553,CLORFENAMINACOMPUESTA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,600,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
100137352,Cobro MA25 3 de 3  Alumnos mixtos Profesional.,,5690108000,Cobro MA25 3 de 3  Alumnos mixtos Profesional.,,3000,7118010001,Transferencia Egresos entre Segmentos, Gastos por Transferencias,Agosto,SEM 1,2025,UF_5690108000 - Alumnos Mixtos
100148897,Comisión Amex 24 julio al 22 de agosto 2025,,5699903000,Comisión Amex 24 julio al 22 de agosto 2025,,1158,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Agosto,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100152051,Comisión Oxxo Pay 20 de agosto al 2 de septiembre,,5699903000,Comisión Oxxo Pay 20 de agosto al 2 de septiembre,,596,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Septiembre,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100147495,Comisión Oxxo Pay 31 de julio al 19 de agosto 2025,,5699903000,Comisión Oxxo Pay 31 de julio al 19 de agosto 2025,,1180,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Agosto,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100148701,Comisiones AGO 2025 UTM,,5699903000,Comisiones AGO 2025 UTM,,113148,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Agosto,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100144979,Comisiones del  14 al 26 agosto 2025,,5699903000,Comisiones del  14 al 26 agosto 2025,,166,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Agosto,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100139245,Comisiones del 30 de julio al 13 de agosto 2025,,5699903000,Comisiones del 30 de julio al 13 de agosto 2025,,435,7115011001,Comisiones bancarias nacionales, Comisiones Bancarias,Agosto,SEM 1,2025,UF_5699903000 - Comisiones Bancarias
100145496,Compras internas Tecmistore,,5690104000,Compras internas Tecmistore,,3990,7115070006,Labor y eventos sociales, Gastos de Operacion,Agosto,SEM 1,2025,UF_5690104000 - Profesional
100145496,Compras internas Tecmistore,,5695103000,Compras internas Tecmistore,,2337,7115070006,Labor y eventos sociales, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5000029899,CONOP/ENTRENAMIENTO,940114,5692101001,FRANCISCO JAVIER ROMÁN RODRÍGUEZ (0000528565),MIGUEL ISAAC JAQUEZ CORRAL,3000,7115101007,Material y equipo deportivo, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5692101001 - Vive Preparatoria
1800001351,Consumo gasolina Agos Ana Ixchel Correa Silva,,5695104000,GASOLINA ACCORD,,1433,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
1800001483,Consumo gasolina Agos Héctor Iván Ferniza Durán,,5694099000,GASOLINA ACCORD,,724,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5694099000 - Direccion Finanzas
1800001524,Consumo gasolina Agos IRIS CAROLINA MARQUEZ SANCHE,,5692099000,GASOLINA ACCORD,,431,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692099000 - Dir General Campus
1800001406,Consumo gasolina Agos Jorge Humberto Rodriguez Nuñ,,5690303000,GASOLINA ACCORD,,1724,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5690303000 - EducacionCont OI U4P
1800001414,Consumo gasolina Agos Juan Ramón Vázquez Ascencio,,5690104000,GASOLINA ACCORD,,474,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5690104000 - Profesional
1800001376,Consumo gasolina Agos Karla Xochel Franco Anchondo,,5695101000,GASOLINA ACCORD,,4641,7115140001,Combustibles y lubricantes, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695101000 - Atraccion Prepa
5000029547,CONTACTORELECTRICO,950046,5694801000,BRENDA EUNICE AGUILAR RAMIREZ (0001465829),JOSÉ EDGARD FAVELA LARA,7250,7115101001,Materiales en general, Gastos de Operacion,Septiembre,SEM 1,2025,UF_5694801000 - Mantenimiento
5100016500,COPIA EXCEDENTE COLOR MFCL9570CDW,948089,5690104000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,0,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5690104000 - Profesional
5100016500,COPIA/IMPRESION B/N KYOCERA M2640-M2040,948089,5690104000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,0,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5690104000 - Profesional
5100016500,COPIA/IMPRESION B/N KYOCERA M2640-M2040,948089,5695104000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,0,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5000028563,COPIA/IMPRESIONB/NKYOCERAM2640-M2040,948089,5690103000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,577,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5690103000 - Preparatoria
5000028563,COPIA/IMPRESIONB/NKYOCERAM2640-M2040,948089,5690104000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,577,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5690104000 - Profesional
5000028564,COPIA/IMPRESIONB/NKYOCERAM2640-M2040,948089,5695101000,REYMA COPIADORAS DIGITALES SA DE C V   (0000040623),HÉCTOR IVÁN FERNIZA DURÁN,120,7115120001,Copiado e impresos, Materiales,Septiembre,SEM 1,2025,UF_5695101000 - Atraccion Prepa
